ds,y
2025-01-01,130
2025-02-01,150
2025-03-01,135
2025-04-01,140
2025-05-01,153
2025-06-01,119
2025-07-01,139
2025-08-01,143
2025-09-01,143
2025-10-01,135
2025-11-01,142
2025-12-01,161
