ds,y
2025-01-01,148
2025-02-01,130
2025-03-01,134
2025-04-01,142
2025-05-01,140
2025-06-01,146
2025-07-01,136
2025-08-01,153
2025-09-01,129
2025-10-01,140
2025-11-01,142
2025-12-01,150
