ds,y
2025-01-01,137
2025-02-01,130
2025-03-01,157
2025-04-01,137
2025-05-01,163
2025-06-01,121
2025-07-01,131
2025-08-01,126
2025-09-01,128
2025-10-01,152
2025-11-01,138
2025-12-01,162
