ds,y
2025-01-01,156
2025-02-01,141
2025-03-01,152
2025-04-01,128
2025-05-01,145
2025-06-01,128
2025-07-01,149
2025-08-01,127
2025-09-01,120
2025-10-01,120
2025-11-01,150
2025-12-01,153
