ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-01,80.42162232,156.00001258494527,156.00001258555145,80.42162232,80.42162232,75.57839026525801,75.57839026525801,75.57839026525801,75.57839026525801,75.57839026525801,75.57839026525801,0.0,0.0,0.0,156.000012585258
2025-02-01,94.40406191173652,140.99999095147575,140.9999909520786,94.40406191173652,94.40406191173652,46.59592904006315,46.59592904006315,46.59592904006315,46.59592904006315,46.59592904006315,46.59592904006315,0.0,0.0,0.0,140.99999095179967
2025-03-01,112.54567055748502,151.99999481819094,151.99999481879766,112.54567055748502,112.54567055748502,39.45432426101434,39.45432426101434,39.45432426101434,39.45432426101434,39.45432426101434,39.45432426101434,0.0,0.0,0.0,151.99999481849937
2025-04-01,129.58790454143713,128.00000235891986,128.00000235952237,129.58790454143713,129.58790454143713,-1.5879021822314339,-1.5879021822314339,-1.5879021822314339,-1.5879021822314339,-1.5879021822314339,-1.5879021822314339,0.0,0.0,0.0,128.0000023592057
2025-05-01,137.60422862047903,145.0000038223717,145.00000382295363,137.60422862047903,137.60422862047903,7.395775202176914,7.395775202176914,7.395775202176914,7.395775202176914,7.395775202176914,7.395775202176914,0.0,0.0,0.0,145.00000382265594
2025-06-01,139.42728898706588,127.99999313957007,127.9999931401573,139.42728898706588,139.42728898706588,-11.427295847203306,-11.427295847203306,-11.427295847203306,-11.427295847203306,-11.427295847203306,-11.427295847203306,0.0,0.0,0.0,127.99999313986257
2025-07-01,142.4074227639521,149.00000328228117,149.0000032828952,142.4074227639521,142.4074227639521,6.592580518632485,6.592580518632485,6.592580518632485,6.592580518632485,6.592580518632485,6.592580518632485,0.0,0.0,0.0,149.00000328258457
2025-08-01,154.1552586931617,126.9999992258645,126.99999922643778,154.1552586931617,154.1552586931617,-27.15525946701828,-27.15525946701828,-27.15525946701828,-27.15525946701828,-27.15525946701828,-27.15525946701828,0.0,0.0,0.0,126.99999922614342
2025-09-01,161.8177842961437,119.99999826128013,119.99999826188666,161.8177842961437,161.8177842961437,-41.81778603456165,-41.81778603456165,-41.81778603456165,-41.81778603456165,-41.81778603456165,-41.81778603456165,0.0,0.0,0.0,119.99999826158206
2025-10-01,171.77897949219158,120.00001210638574,120.00001210698328,171.77897949219158,171.77897949219158,-51.77896738552239,-51.77896738552239,-51.77896738552239,-51.77896738552239,-51.77896738552239,-51.77896738552239,0.0,0.0,0.0,120.00001210666919
2025-11-01,182.0722145281078,149.99998841270016,149.99998841333692,182.0722145281078,182.0722145281078,-32.072226115091034,-32.072226115091034,-32.072226115091034,-32.072226115091034,-32.072226115091034,-32.072226115091034,0.0,0.0,0.0,149.99998841301675
2025-12-01,192.03340972415566,153.00000008690714,153.00000008751243,192.03340972415566,192.03340972415566,-39.03340963694394,-39.03340963694394,-39.03340963694394,-39.03340963694394,-39.03340963694394,-39.03340963694394,0.0,0.0,0.0,153.00000008721173
2026-01-01,202.32664476007182,260.7127671686269,267.65794716358556,198.85145763257353,205.796637627697,61.86130953600068,61.86130953600068,61.86130953600068,61.86130953600068,61.86130953600068,61.86130953600068,0.0,0.0,0.0,264.1879542960725
2026-02-01,212.619879795988,255.1547198619193,277.59083011134567,201.23684627198764,223.67295652181016,53.91787358968481,53.91787358968481,53.91787358968481,53.91787358968481,53.91787358968481,53.91787358968481,0.0,0.0,0.0,266.53775338567283
2026-03-01,221.91699531229938,245.90799016629327,288.354131953177,199.96827488078807,242.4144166670923,45.93971528593579,45.93971528593579,45.93971528593579,45.93971528593579,45.93971528593579,45.93971528593579,0.0,0.0,0.0,267.85671059823517
2026-04-01,232.21023034821553,205.1606275706265,271.5863542199549,198.31001252331762,264.7357391727432,6.8506150472795095,6.8506150472795095,6.8506150472795095,6.8506150472795095,6.8506150472795095,6.8506150472795095,0.0,0.0,0.0,239.06084539549505
2026-05-01,242.17142554426346,186.89918733643898,280.17268726008115,195.19806268510288,288.4715626083273,-8.298875348340937,-8.298875348340937,-8.298875348340937,-8.298875348340937,-8.298875348340937,-8.298875348340937,0.0,0.0,0.0,233.8725501959225
2026-06-01,252.4646605801796,180.63168135803323,305.77698385221214,188.82841066859615,313.9737131627163,-8.196729310518945,-8.196729310518945,-8.196729310518945,-8.196729310518945,-8.196729310518945,-8.196729310518945,0.0,0.0,0.0,244.26793126966066
2026-07-01,262.42585577622754,196.80850065302968,355.0199896596693,182.46419855536263,340.67568756224324,14.344302097599794,14.344302097599794,14.344302097599794,14.344302097599794,14.344302097599794,14.344302097599794,0.0,0.0,0.0,276.7701578738273
2026-08-01,272.7190908121437,114.36276786642635,309.5676298737203,172.93051002060423,368.13537202835147,-58.56774215434373,-58.56774215434373,-58.56774215434373,-58.56774215434373,-58.56774215434373,-58.56774215434373,0.0,0.0,0.0,214.15134865779996
2026-09-01,283.01232584805985,148.7680018853974,385.42416399291886,162.49754313755653,399.15370524468693,-13.729541251840814,-13.729541251840814,-13.729541251840814,-13.729541251840814,-13.729541251840814,-13.729541251840814,0.0,0.0,0.0,269.282784596219
2026-10-01,292.97352104410777,107.4302395314514,386.6218343346846,150.9256943875907,430.11728919038785,-43.495454856060604,-43.495454856060604,-43.495454856060604,-43.495454856060604,-43.495454856060604,-43.495454856060604,0.0,0.0,0.0,249.47806618804717
2026-11-01,303.2667560800239,100.20356898200411,424.16367460319674,140.5069969399916,464.46710256086766,-40.30342795771819,-40.30342795771819,-40.30342795771819,-40.30342795771819,-40.30342795771819,-40.30342795771819,0.0,0.0,0.0,262.9633281223057
2026-12-01,313.2279512760718,82.25057441399991,450.3085614422712,126.18973610939948,494.24772313807864,-43.93916169541771,-43.93916169541771,-43.93916169541771,-43.93916169541771,-43.93916169541771,-43.93916169541771,0.0,0.0,0.0,269.2887895806541
