ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-01,294.920184,149.999992605057,149.99999260982295,294.920184,294.920184,-144.92019139258764,-144.92019139258764,-144.92019139258764,-144.92019139258764,-144.92019139258764,-144.92019139258764,0.0,0.0,0.0,149.99999260741237
2025-02-01,253.7302258275449,138.99999233049712,138.99999233519088,253.7302258275449,253.7302258275449,-114.73023349466007,-114.73023349466007,-114.73023349466007,-114.73023349466007,-114.73023349466007,-114.73023349466007,0.0,0.0,0.0,138.99999233288483
2025-03-01,216.52639254586376,156.00000943948666,156.00000944456207,216.52639254586376,216.52639254586376,-60.52638310384254,-60.52638310384254,-60.52638310384254,-60.52638310384254,-60.52638310384254,-60.52638310384254,0.0,0.0,0.0,156.00000944202122
2025-04-01,175.33643427587768,130.0000061181897,130.00000612297944,175.33643427587768,175.33643427587768,-45.33642815522419,-45.33642815522419,-45.33642815522419,-45.33642815522419,-45.33642815522419,-45.33642815522419,0.0,0.0,0.0,130.0000061206535
2025-05-01,135.47518435070674,143.00001276789928,143.00001277255632,135.47518435070674,135.47518435070674,7.524828419622702,7.524828419622702,7.524828419622702,7.524828419622702,7.524828419622702,7.524828419622702,0.0,0.0,0.0,143.00001277032945
2025-06-01,94.28522607329614,114.99999630183616,114.99999630685339,94.28522607329614,94.28522607329614,20.714770231087755,20.714770231087755,20.714770231087755,20.714770231087755,20.714770231087755,20.714770231087755,0.0,0.0,0.0,114.9999963043839
2025-07-01,55.84471665555868,152.9999897814457,152.99998978614622,55.84471665555868,55.84471665555868,97.15527312817629,97.15527312817629,97.15527312817629,97.15527312817629,97.15527312817629,97.15527312817629,0.0,0.0,0.0,152.99998978373497
2025-08-01,16.122856999242703,135.00001933084,135.00001933557715,16.122856999242703,16.122856999242703,118.87716233409947,118.87716233409947,118.87716233409947,118.87716233409947,118.87716233409947,118.87716233409947,0.0,0.0,0.0,135.00001933334218
2025-09-01,-23.59900256779101,112.00002517827463,112.00002518283539,-23.59900256779101,-23.59900256779101,135.59902774831994,135.59902774831994,135.59902774831994,135.59902774831994,135.59902774831994,135.59902774831994,0.0,0.0,0.0,112.00002518052892
2025-10-01,-62.03951194888108,146.0000031623649,146.00000316724558,-62.03951194888108,-62.03951194888108,208.03951511374794,208.03951511374794,208.03951511374794,208.03951511374794,208.03951511374794,208.03951511374794,0.0,0.0,0.0,146.00000316486685
