ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-01,146.03888726,209.9999967066332,209.99999676900583,146.03888726,146.03888726,63.96110947705955,63.96110947705955,63.96110947705955,63.96110947705955,63.96110947705955,63.96110947705955,0.0,0.0,0.0,209.99999673705955
2025-02-01,149.06330043520958,185.99999258540612,185.99999264690308,149.06330043520958,149.06330043520958,36.9366921803638,36.9366921803638,36.9366921803638,36.9366921803638,36.9366921803638,36.9366921803638,0.0,0.0,0.0,185.99999261557338
2025-03-01,151.79502852950841,202.0000092136661,202.00000927741166,151.79502852950841,151.79502852950841,50.20498071644699,50.20498071644699,50.20498071644699,50.20498071644699,50.20498071644699,50.20498071644699,0.0,0.0,0.0,202.0000092459554
2025-04-01,154.81944177616242,215.99998982093894,215.99998988412082,154.81944177616242,154.81944177616242,61.180548076880164,61.180548076880164,61.180548076880164,61.180548076880164,61.180548076880164,61.180548076880164,0.0,0.0,0.0,215.9999898530426
2025-05-01,157.74629330298998,237.99999747503838,237.99999753877182,157.74629330298998,157.74629330298998,80.2537042038516,80.2537042038516,80.2537042038516,80.2537042038516,80.2537042038516,80.2537042038516,0.0,0.0,0.0,237.99999750684157
2025-06-01,160.7707065182301,176.00001451628094,176.00001457887822,160.7707065182301,160.7707065182301,15.22930802907571,15.22930802907571,15.22930802907571,15.22930802907571,15.22930802907571,15.22930802907571,0.0,0.0,0.0,176.0000145473058
2025-07-01,163.69755801310086,207.99998279501727,207.99998285882197,163.69755801310086,163.69755801310086,44.30242481376484,44.30242481376484,44.30242481376484,44.30242481376484,44.30242481376484,44.30242481376484,0.0,0.0,0.0,207.9999828268657
2025-08-01,166.72197121710312,228.00000458408553,228.00000464727344,166.72197121710312,166.72197121710312,61.27803339934564,61.27803339934564,61.27803339934564,61.27803339934564,61.27803339934564,61.27803339934564,0.0,0.0,0.0,228.00000461644876
2025-09-01,169.74638440132,202.00001272179782,202.00001278881476,169.74638440132,169.74638440132,32.253628355018186,32.253628355018186,32.253628355018186,32.253628355018186,32.253628355018186,32.253628355018186,0.0,0.0,0.0,202.00001275633818
2025-10-01,172.67323589941017,191.99998806254436,191.9999881277924,172.67323589941017,172.67323589941017,19.32675219614969,19.32675219614969,19.32675219614969,19.32675219614969,19.32675219614969,19.32675219614969,0.0,0.0,0.0,191.99998809555987
2025-11-01,175.6976491141033,201.0000054721704,201.00000553505478,175.6976491141033,175.6976491141033,25.30235639090911,25.30235639090911,25.30235639090911,25.30235639090911,25.30235639090911,25.30235639090911,0.0,0.0,0.0,201.00000550501244
2025-12-01,178.6245006121935,231.0000077910589,231.00000785675073,178.6245006121935,178.6245006121935,52.375507211176945,52.375507211176945,52.375507211176945,52.375507211176945,52.375507211176945,52.375507211176945,0.0,0.0,0.0,231.00000782337042
2026-01-01,181.64891382688663,222.76493685222255,222.76493718766523,181.64891364445384,181.64891398503914,41.116023199947264,41.116023199947264,41.116023199947264,41.116023199947264,41.116023199947264,41.116023199947264,0.0,0.0,0.0,222.76493702683388
2026-02-01,184.6733270415798,176.8119261522889,176.81192724418477,184.67332647503164,184.6733275492372,-7.861400315608312,-7.861400315608312,-7.861400315608312,-7.861400315608312,-7.861400315608312,-7.861400315608312,0.0,0.0,0.0,176.8119267259715
2026-03-01,187.40505510646392,288.7183006767827,288.71830271264696,187.4050540761482,187.40505612086582,101.31324661264992,101.31324661264992,101.31324661264992,101.31324661264992,101.31324661264992,101.31324661264992,0.0,0.0,0.0,288.7183017191138
2026-04-01,190.4294683211571,214.25946685211008,214.25947001123862,190.42946667379798,190.4294698612639,23.830000157017835,23.830000157017835,23.830000157017835,23.830000157017835,23.830000157017835,23.830000157017835,0.0,0.0,0.0,214.25946847817494
2026-05-01,193.35631981924723,312.8598417666709,312.85984628323706,193.35631753230246,193.35632202765282,119.50352423982639,119.50352423982639,119.50352423982639,119.50352423982639,119.50352423982639,119.50352423982639,0.0,0.0,0.0,312.8598440590736
2026-06-01,196.3807330339404,203.64225975692136,203.6422656856605,196.3807300025536,196.38073594281104,7.2615297623228505,7.2615297623228505,7.2615297623228505,7.2615297623228505,7.2615297623228505,7.2615297623228505,0.0,0.0,0.0,203.64226279626325
2026-07-01,199.30758453203057,234.68167528938122,234.68168277420466,199.30758073996404,199.3075881943815,35.374094564757115,35.374094564757115,35.374094564757115,35.374094564757115,35.374094564757115,35.374094564757115,0.0,0.0,0.0,234.6816790967877
2026-08-01,202.3319977467237,242.05796766513484,242.05797674272975,202.33199323620326,202.33200231529602,39.725974422636185,39.725974422636185,39.725974422636185,39.725974422636185,39.725974422636185,39.725974422636185,0.0,0.0,0.0,242.05797216935986
2026-09-01,205.35641096141686,257.12811581366066,257.12812672464645,205.35640569987558,205.35641660745875,51.7717101112921,51.7717101112921,51.7717101112921,51.7717101112921,51.7717101112921,51.7717101112921,0.0,0.0,0.0,257.12812107270895
2026-10-01,208.28326245950703,226.72087887748754,226.72089166725132,208.283256363796,208.28326908529968,18.437622558059655,18.437622558059655,18.437622558059655,18.437622558059655,18.437622558059655,18.437622558059655,0.0,0.0,0.0,226.72088501756667
2026-11-01,211.30767567420017,222.05314295994964,222.053157555709,211.30766863489444,211.30768324982324,10.745474332755776,10.745474332755776,10.745474332755776,10.745474332755776,10.745474332755776,10.745474332755776,0.0,0.0,0.0,222.05315000695595
2026-12-01,214.23452717229034,313.95014053993697,313.95015731085203,214.2345190460976,214.2345358339409,99.71562150226336,99.71562150226336,99.71562150226336,99.71562150226336,99.71562150226336,99.71562150226336,0.0,0.0,0.0,313.9501486745537
